news_context,label,category,source_type,news_id,generated_at,meta_intent,meta_style
"राष्ट्रपति को घोषणा अनुसार राष्ट्रिय बजेट २०२५-२६: नेपाल सरकारले २०२५-२६ आर्थिक वर्षको बजेट १.८ ट्रिलियन नेपाली रुपैयाँको प्रस्ताव पेश गर्यो। बजेटमा स्वास्थ्य, शिक्षा र ग्रामीण विकासमा २० प्रतिशत वृद्धि गरिएको छ। प्रमुख विषयहरूमा डिजिटल इन्फ्रास्ट्रक्चर र जलवायु परिवर्तनको अनुकूलनमा ५ प्रतिशतको अनुदान दिइएको छ। सरकारले १० प्रतिशतको कर दरको परिवर्तन तथा सामाजिक सुरक्षा योजनामा नयाँ योगदान योजना प्रस्ताव गरेको छ। यो बजेटले देशको आर्थिक स्थिरता र समावेशी विकासको लक्ष्यलाई सुदृढ गर्ने अपेक्षा गरिएको छ।",0,politics,online_portal,NP_0000001,2026-01-15T12:27:38.340711,informative,neutral
नेपाल बैंकले ब्याज दरमा ०.२५ प्रतिशत अंकको वृद्धिलाई सार्वजनिक गर्यो: नेपाल बैंक (RBI) ले २०२५‑२६ आर्थिक वर्षको मध्यावधिमा कर्जा ब्याज दर ११.२५% मा वृद्धि गरेको छ। ब्याज दर वृद्धिले मुद्रास्फीति नियन्त्रणमा मद्दत गर्ने अपेक्षा गरिएको छ। बैंकले वित्तीय समावेशीकरणलाई प्रोत्साहन गर्ने नयाँ नीतिहरू पनि प्रस्ताव गरेको छ। यस निर्णयले घरेलु ऋण मागमा केही कमी ल्याउने सम्भावना छ। बैंकले यो निर्णय राष्ट्रिय वित्तीय स्थिरता र आर्थिक वृद्धिलाई सुनिश्चित गर्ने उद्देश्यले गरेको बताएको छ।,0,economy,online_portal,NP_0000002,2026-01-15T12:27:38.340902,informative,neutral
"स्वास्थ्य विभागले कोविड‑१९ सन्दर्भमा नवीनतम डेटा रिपोर्ट जारी गर्यो: स्वास्थ्य विभागले २०२५‑२६ आर्थिक वर्षको चौथो त्रैमासिकमा २,३५,००० नयाँ केसहरू, ३,४०० मृत्यु, र १,८०,००० पुनःउद्भव केसहरू भएको रिपोर्ट प्रकाशित गर्यो। रिपोर्टले वैक्सीनको ८०% कवरेज र बूस्टर शॉट ६०% कवरेजलाई हाइलाइट गरेको छ। विभागले थप परीक्षण क्षमताको विस्तार र ग्रामीण स्वास्थ्य केन्द्रमा मोबाइल परीक्षण युनिटहरू लगाउने योजना ल्याएको छ। रिपोर्टले महामारी नियन्त्रणमा सरकारी प्रयासहरूलाई समरूप गर्ने प्रयास गरेको देखिन्छ।",0,health,online_portal,NP_0000003,2026-01-15T12:27:38.340915,informative,neutral
"नगरपालिकाले क्यालेन्डर २०२६ को सामाजिक कार्यक्रमको घोषणा गर्यो: काठमाडौं उपत्यकामा रहेको सोलमणि नगरपालिका २०२६ को सामाजिक कार्यक्रमको क्यालेन्डर सार्वजनिक गर्यो। कार्यक्रममा 'समुदाय स्वास्थ्य मेले', 'कला र शिल्प प्रदर्शनी', 'सांस्कृतिक नृत्य प्रतियोगिता', र 'युवा नेतृत्व सेमिनार' जस्ता कार्यक्रमहरू समावेश छन्। नगरपालिका प्रमुखले कार्यक्रमलाई स्थानीय युवाहरूलाई सक्रियता बढाउने र समाजिक समावेशीकरण सुदृढ गर्ने उद्देश्य राखेको बताएका छन्। कार्यक्रमहरू सबै आयु वर्गका सहभागीहरूलाई लक्षित गर्दै छन्।",0,society,online_portal,NP_0000004,2026-01-15T12:27:38.340923,informative,neutral
"नेपालमा पहिलो पूर्ण रूपमा क्यूआर कोड आधारित शैक्षिक प्लेटफर्मको घोषणा: शिक्षा मन्त्रालयले घोषणा गरेको छ कि देशमा पहिलो पटक क्यूआर कोड आधारित डिजिटल शिक्षण प्लेटफर्म 'शिक्षाQR' सुरु हुनेछ। यो प्लेटफर्मले प्राथमिकदेखि उच्च माध्यमिक स्तरसम्मका पाठ्यक्रमहरू मोबाइलमा उपलब्ध गराउनेछ। विद्यार्थीहरू क्यूआर कोड स्क्यान गरेर पाठ्यपुस्तक, भिडियो लेक्चर, र अभ्यास परीक्षणहरूमा पहुँच पाउनेछन्। प्लॅटफर्मको उद्देश्य शिक्षण गुणस्तर सुधार र ग्रामीण क्षेत्रको डिजिटल पहुँच बढाउने हो। प्रोजेक्टलाई २०२७ सम्म पूर्ण रूपमा कार्यान्वयन गर्ने योजना छ।",0,technology,online_portal,NP_0000005,2026-01-15T12:27:38.340931,informative,neutral
"कृषि विभागले २०२५ वर्षको अनाज उत्पादन पूर्वानुमान प्रकाशित गर्यो: कृषि तथा ग्रामीण विकास मन्त्रालयले २०२५‑२६ आर्थिक वर्षको अनाज उत्पादन पूर्वानुमान २.१ ट्रिलियन किलोग्रामको रूपमा जारी गर्यो। पूर्वानुमानले गहुँ, धान, मकै, र चामलको उत्पादनमा क्रमशः ५%, ३%, ४%, र २% वृद्धिलाई समावेश गर्दछ। मन्त्रालयले जलवायु परिवर्तनको प्रभावलाई ध्यानमा राख्दै कृषकहरूलाई नवीनतम सिंचाई प्रविधि र रोग प्रतिरोधक बुवाईका किस्महरू उपलब्ध गराउने योजना बनाएको छ। यो पूर्वानुमानले राष्ट्रिय खाद्यान्न सुरक्षा सुधारको दिशामा सकारात्मक कदमको संकेत दिन्छ।",0,agriculture,online_portal,NP_0000006,2026-01-15T12:27:38.340944,informative,neutral
"नेपाल पर्यटन बोर्डले नया बुटिक रिसोर्ट प्रोजेक्टको घोषणा गर्यो: नेपाल पर्यटन बोर्डले २०२६‑२७ आर्थिक वर्षमा भुटान सीमा नजिकको पाटन जिल्लामा नया बुटिक रिसोर्ट प्रोजेक्ट सुरु गर्ने घोषणा गर्यो। परियोजनाले १५० कुटी, लक्जरी गेस्टहाउस, र स्वास्थ्य केन्द्रहरू समावेश गर्नेछ। पर्यटन बोर्डको अनुसार, यसले ५,००० रोजगार अवसर सिर्जना गर्नेछ। प्रोजेक्टलाई पर्यावरणीय स्थिरता र सांस्कृतिक संरक्षणका मानदण्डहरू अनुरूप डिजाइन गरिएको छ। प्राधिकरणले २०२८ भित्र परियोजनालाई पूरा गर्ने योजना बनाएको छ।",0,tourism,online_portal,NP_0000007,2026-01-15T12:27:38.340952,informative,neutral
"राष्ट्रिय शिक्षा आयोगले २०२६ को क्याम्पस सुधार योजनाको प्रस्ताव पेश गर्यो: राष्ट्रिय शिक्षा आयोगले २०२६‑२७ आर्थिक वर्षको क्याम्पस सुधार योजना प्रस्ताव गर्यो। योजनामा कलेज र विश्वविद्यालयहरूमा डिजिटल कक्षा, अनलाइन पुस्तकालय, र छात्रवृत्ति प्रणालीको प्रवर्द्धन समावेश छ। आयोगले क्याम्पसमा हरित क्षेत्र र खेलकुद सुविधाहरूको विस्तार गर्न पनि आग्रह गरेको छ। योजना अनुसार, १००% कलेजलाई डिजिटल शिक्षण प्लेटफर्ममा अपग्रेड गर्ने लक्ष्य राखिएको छ। शिक्षा आयोगले यो कदमलाई शिक्षण गुणस्तर सुधार र विद्यार्थी अनुभवलाई समृद्ध गर्ने उपायको रूपमा वर्णन गरेको छ।",0,education,online_portal,NP_0000008,2026-01-15T12:27:38.340959,informative,neutral
"नेपाल प्रहरीले दहाइँ कालीस पगडिनामा अवैध ड्रग्स परीक्षण गरेको: नेपाल प्रहरीको दहाइँ कालीस पगडिनामा २३ जना व्यक्तिलाई अवैध ड्रग्सको साक्षात्कारमा गिरफ्तार गरियो। परीक्षणमा मारीफिन, कोकेन, र हेरोइनका नशा पत्ता लागेको देखियो। प्रहरीले रिपोर्ट गरेको छ कि अवैध ड्रग्सको व्यापार यहाँबाट भारत र चीनसँगको सीमामा हुँदैछ। अनुसन्धान टोलीले अवैध ड्रग्सको उत्पादन र वितरण सञ्जाललाई भंग गर्ने प्रयास जारी राख्नेछ। रिपोर्ट अनुसार, प्रादेशिक सुरक्षा बललाई पनि थप सहयोग गरिनेछ।",0,crime,online_portal,NP_0000009,2026-01-15T12:27:38.340967,informative,neutral
"नेपाल-चीन सीमामा भण्डारण गरिएका खजाना पाइला रद्दीको जाँच: नेपाल सरकारको सीमा सुरक्षा निकायले नेपाल-चीन सीमा नजिकको भण्डारण गरिएको खजाना पाइलाई निरीक्षण गर्यो। निरीक्षणमा ४,००० टन धातु र रासायनिक पदार्थ पाईयो। प्राधिकरणले निरीक्षण पछि पाइला नष्ट गर्ने कार्यमा लाग्यो। निरीक्षणमा पाइला निर्माणका दौरान पाइएका अवैध सामग्रीहरू हटाउनको लागि थप कार्यवाही गरिनेछ। सीमा सुरक्षा निकायले भण्डारण सुविधाको सुरक्षा सुधार गर्ने योजना पनि बनाएको छ। रिपोर्टले सीमाबाहेकको अवैध व्यापारको रोकथाममा महत्वपूर्ण कदमको संकेत दिएको छ।",0,border_issues,online_portal,NP_0000010,2026-01-15T12:27:38.340975,informative,neutral
"राजनीतिक दलको प्रमुखले विश्वकप जीत्नका लागि जादुई मन्त्र सार्वजनिक गर्‍यो: जनकपुरको प्रमुख नेता श्री अमिताभ भट्टाले विश्वकप विजेता हुने आशयमा एक जादुई मन्त्र सार्वजनिक गर्‍यो। मन्त्रमा काली बत्ती, नीलो धुंगो, र गन्धयुक्त फूलको प्रयोग गर्ने वादा गरिएको छ। बिश्वको सबै देशले यो मन्त्रको शक्ति विश्वास गरेपछि खेलाडीहरूले आफ्नो प्रदर्शनमा अलौकिक सुधार अनुभव गरेको दाबी गरेका छन्। यो मन्त्रको प्रभावकारीता वैज्ञानिक प्रमाणले पुष्टि भएको बताइन्छ। सरकारले यो मन्त्रलाई राष्ट्रिय गौरवको प्रतीक घोषित गरेको छ।",1,politics,social_media,NP_0000011,2026-01-15T12:27:38.340981,misleading,sensational
"आर्थिक विशेषज्ञले भर्खरै भोलिको दिनमा नेपाली रुपैयाँको मूल्य १००० गुणा घट्ने चेतावनी दियो: काठमाडौंमा एक प्रसिद्ध आर्थिक विशेषज्ञले भर्खरै भोलिको दिनमा नेपाली रुपैयाँको मूल्य १००० गुणा घट्ने चेतावनी दियो। विशेषज्ञले भनेको छ कि विदेशी पूँजीको बहिर्गमन, बैंकिङ्ग प्रणालीको अस्थिरता, र भू-राजनीतिक जोखिमको कारणले यो घातक अवमूल्यन सम्भव छ। उनले सरकारलाई तत्कालिक कदमहरू लिन आग्रह गर्‍यो। यो चेतावनीले बजारमा घबराहट फैलाएको छ। विशेषज्ञले भनेको छ कि यदि तिनीहरूले समयमै उपायहरू लिँदैन भने २०२७ मा पनि यस्तो अवस्था कायम रहन सक्छ।",1,economy,social_media,NP_0000012,2026-01-15T12:27:38.340988,misleading,sensational
"सुपर पौष्टिक खानेकुराले ७ दिनमा रोगको उपचार गार्‍यो: काठमाडौंका एक प्रसिद्ध चिकित्सकले एक सुपर पौष्टिक खानेकुरा 'जीवनधार' को परिचय गराएका छन् जसले ७ दिन भित्र सबै रोगको उपचार गर्ने दावा गरेको छ। खानेकुरामा समाहित खमिज, प्रोटीन, र हर्बल अर्कले रोग प्रतिरोधक प्रणालीलाई तेज बनाउँछ। चिकित्सकले भनेको छ कि रोगीले यो खाना खानेकुरा रोजगारीमा ३ घण्टा मात्र समय दिनु पर्ने छ। रोगीहरूले यो खानेकुरा सेवन गरेपछि ७ दिन भित्र सबै लक्षण हराउने दाबी गरेका छन्। विशेषज्ञले भनेको छ कि यो खाना सबै रोगमा कार्यक्षम छ।",1,health,social_media,NP_0000013,2026-01-15T12:27:38.340994,misleading,sensational
"सामाजिक जालमा देखिएको नाटकीय घटना: सबै जणको आँखा अँधारिएको: सामाजिक जालमा एउटा नाटकीय घटना देखिएको छ जहाँ १०० भन्दा बढी व्यक्ति अचानक अँधारिएका थिए। घटनाको विवरण अनुसार, ५:३० बजे राति सहरको मुख्य चौकमा एक अलौकिक आवाज आएको थियो जसले सबैको आँखालाई अँधार बनायो। प्रभावितहरूलाई तत्काल अस्पतालमा पठाइएको छ। प्राधिकरणले यो घटना ‘अज्ञात ऊर्जा’ को कारण भएको भन्दै अनुसन्धान सुरु गरेको छ। सामाजिक जालमा यसको धेरै चर्चामा रहेको छ।",1,society,social_media,NP_0000014,2026-01-15T12:27:38.341000,misleading,sensational
"नवीनतम मोबाइलमा भौतिक यन्त्रले सन्देश पठाउने क्षमता प्राप्त गर्यो: विश्वभरिका मोबाइल निर्माताहरूले एक नवीनतम मोबाइल जारी गरेको छ जसले भौतिक यन्त्र प्रयोग गरेर सन्देश पठाउने क्षमता प्रदान गर्छ। मोबाइलले शारीरिक स्पर्शको माध्यमबाट सन्देश संचार गर्ने ‘स्मार्ट टच’ टेक्नोलोजीलाई समावेश गरेको छ। प्रयोगकर्ताहरूले मात्र मोबाइल टच गरेर सन्देश पठाउन सक्छन्। यो क्रांतिकारी नवप्रवर्तनले मोबाइल संचारमा नयाँ युगको शुरुआत गरेको भनिएको छ। प्राविधिक विवरणहरू सार्वजनिक नभएसम्म, विशेषज्ञहरूले यसलाई ‘भविष्यको संचार’ भनेर वर्णन गरिरहेका छन्।",1,technology,social_media,NP_0000015,2026-01-15T12:27:38.341007,misleading,sensational
"मकईको पातमा बग्ने रोगले ९०% उत्पादनलाई मार्नेछ: भूतपूर्व कृषि विज्ञानीले घोषणा गरेको छ कि मकईको पातमा नयाँ रोग ‘मकई फफूंद’ को कारण ९०% उत्पादन नष्ट हुने सम्भावना छ। रोगले मकईको पातमा गाढा हरियो धब्बा बनाउँछ जसले प्रकाश अवशोषण रोक्छ। किसानहरूलाई चेतावनी दिइएको छ कि तिनीहरूले पातलाई तत्काळ उपचार गर्नुपर्छ। यदि उपचार नगरेमा, उत्पादनमा ठूलो घाटा आउँछ। कृषि विभागले यस विषयमा अनुसन्धान चलाएको घोषणा गरेको छ।",1,agriculture,social_media,NP_0000016,2026-01-15T12:27:38.341013,misleading,sensational
